x,T,M,N
499,0,40000.3,0
503.04,-808.081,38367.8,0
511.121,-2424.24,25307.9,0
523.242,-4848.48,-18769.3,0
539.404,-8080.81,-123248,0
559.606,-12121.2,-327309,0
583.848,-16969.7,-679926,0
612.131,-22626.3,-1.23987e+06,0
644.455,-29090.9,-2.0757e+06,0
680.818,-36363.6,-3.26578e+06,0
721.222,-44444.4,-4.89827e+06,0
765.667,-53333.3,-7.07111e+06,0
814.152,-63030.3,-9.89205e+06,0
866.677,-73535.4,-1.34786e+07,0
923.242,-84848.5,-1.79582e+07,0
983.848,-96969.7,-2.34678e+07,0
1048.49,-109899,-3.01545e+07,0
1117.18,-123636,-3.81749e+07,0
1189.91,-138182,-4.76955e+07,0
1266.68,-153535,-5.88928e+07,0
1347.48,-169697,-7.19527e+07,0
1432.33,-186667,-8.70711e+07,0
1521.22,-204444,-1.04454e+08,0
1614.15,-223030,-1.24316e+08,0
1711.12,-242424,-1.46884e+08,0
1812.13,-262626,-1.72391e+08,0
1917.18,-283636,-2.01084e+08,0
2026.27,-305455,-2.33216e+08,0
2139.4,-328081,-2.69053e+08,0
2256.58,-351515,-3.08867e+08,0
2377.79,-375758,-3.52944e+08,0
2503.04,-400808,-4.01578e+08,0
2632.33,-426667,-4.55071e+08,0
2765.67,-453333,-5.13738e+08,0
2903.04,-480808,-5.77901e+08,0
3044.45,-509091,-6.47894e+08,0
3189.91,-538182,-7.24059e+08,0
3339.4,-568081,-8.0675e+08,0
3492.94,-598788,-8.96327e+08,0
3650.52,-630303,-9.93165e+08,0
3812.13,-662626,-1.09764e+09,0
3977.79,-695758,-1.21016e+09,0
4147.48,-729697,-1.3311e+09,0
4321.22,-764444,-1.4609e+09,0
4499,-800000,-1.59996e+09,0
4680.82,-836364,-1.74872e+09,0
4866.68,-873535,-1.90762e+09,0
5056.58,-911515,-2.07711e+09,0
5250.52,-950303,-2.25765e+09,0
5448.49,-989899,-2.44971e+09,0
5650.52,-1.0303e+06,-2.65377e+09,0
5856.58,-1.07152e+06,-2.87032e+09,0
6066.68,-1.11354e+06,-3.09986e+09,0
6280.82,-1.15636e+06,-3.3429e+09,0
6499,-1.2e+06,-3.59996e+09,0
6721.22,-1.24444e+06,-3.87156e+09,0
6947.48,-1.2897e+06,-4.15826e+09,0
7177.79,-1.33576e+06,-4.46058e+09,0
7412.13,-1.38263e+06,-4.7791e+09,0
7650.52,-1.4303e+06,-5.11438e+09,0
7892.94,-1.47879e+06,-5.46699e+09,0
8139.4,-1.52808e+06,-5.83754e+09,0
8389.91,-1.57818e+06,-6.2266e+09,0
8644.45,-1.62909e+06,-6.6348e+09,0
8903.04,-1.68081e+06,-7.06275e+09,0
9165.67,-1.73333e+06,-7.51107e+09,0
9432.33,-1.78667e+06,-7.9804e+09,0
9703.04,-1.84081e+06,-8.4714e+09,0
9977.79,-1.89576e+06,-8.9847e+09,0
10256.6,-1.95152e+06,-9.52099e+09,0
10539.4,-2.00808e+06,-1.00809e+10,0
10826.3,-2.06545e+06,-1.06652e+10,0
11117.2,-2.12364e+06,-1.12745e+10,0
11412.1,-2.18263e+06,-1.19096e+10,0
11711.1,-2.24242e+06,-1.25711e+10,0
12014.2,-2.30303e+06,-1.32598e+10,0
12321.2,-2.36444e+06,-1.39765e+10,0
12632.3,-2.42667e+06,-1.47217e+10,0
12947.5,-2.4897e+06,-1.54964e+10,0
13266.7,-2.55354e+06,-1.63013e+10,0
13589.9,-2.61818e+06,-1.71372e+10,0
13917.2,-2.68364e+06,-1.80047e+10,0
14248.5,-2.7499e+06,-1.89048e+10,0
14583.8,-2.81697e+06,-1.98383e+10,0
14923.2,-2.88485e+06,-2.08058e+10,0
15266.7,-2.95354e+06,-2.18084e+10,0
15614.2,-3.02303e+06,-2.28467e+10,0
15965.7,-3.09333e+06,-2.39217e+10,0
16321.2,-3.16444e+06,-2.50342e+10,0
16680.8,-3.23636e+06,-2.61851e+10,0
17044.5,-3.30909e+06,-2.73752e+10,0
17412.1,-3.38263e+06,-2.86054e+10,0
17783.8,-3.45697e+06,-2.98766e+10,0
18159.6,-3.53212e+06,-3.11897e+10,0
18539.4,-3.60808e+06,-3.25456e+10,0
18923.2,-3.68485e+06,-3.39452e+10,0
19311.1,-3.76242e+06,-3.53896e+10,0
19703,-3.84081e+06,-3.68795e+10,0
20099,-3.92e+06,-3.8416e+10,0
20499,-4e+06,-4e+10,0
